main_id,coo_ra,coo_dec,plx_value,dist_st_value,sptype_string,coo_gal_l,coo_gal_b,teff_st_value,mass_st_value,radius_st_value,binary_flag,mag_i_value,mag_j_value,class_lum,class_temp,parent_main_id,sep_ang_value,sep_phys_value,a_crit_s,ecliptic_pm45deg
Ross  391,116.76287138875959,-13.938655738577502,34.4191,29.05,M0,231.73189466472115,5.607635711748164,3602.0,0.5557993054389954,0.6160348057746887,False,,8.529999732971191,V,M,,,,,True
1RXS J132923.9-142206,202.35036499905996,-14.3700872632,41.449,24.13,M3.5V,316.6056981348391,47.49121756096149,3154.0,0.27,0.4893636405467987,False,,9.060999870300293,V,M,,,,,True
*  51 Ari,45.60844307087999,26.60923900509,47.181,21.19,G8V,156.04686832528816,-27.710523704850765,5435.62255859375,0.8797081112861633,1.0671637058258057,False,,5.340000152587891,V,G,,,,,True
PM J18467+0043,281.69484125368,0.72389519935,46.0025,21.74,M4.0V,33.045221997364976,1.3665638929673987,3079.0,0.184,0.217,False,,9.593000411987305,V,M,,,,,True
Wolf 1336,329.83571216440913,-4.092906439026944,33.7192,29.66,M2:,54.497776424069606,-42.96333659368545,3157.0,0.4,0.421,False,,10.220000267028809,V,M,,,,,True
G 218-5,9.56371158932,52.33209124350001,43.4445,23.02,M0.0V,120.88441519861047,-10.487238615449051,4095.0,0.54,0.544,False,,7.714000225067139,V,M,,,,,False
WT 392,198.28886714570706,-41.51103902087582,84.3143,11.86,M5,307.28972226236704,21.176874228189114,4250.0,0.123,0.156,False,,8.291999816894531,V,M,,,,,True
G 209-40,310.72155738364995,42.72050477439,34.1157,29.31,M3.8,82.42727634552945,0.21639084153540175,3332.0,0.27,0.3,False,,10.993000030517578,V,M,,,,,False
UPM J0611-0035,92.8109984951,-0.5938589442499999,46.022,21.73,dM6,208.846139213318,-9.207134446576587,2740.0,0.093,0.126,False,,10.626999855041504,V,M,,,,,True
Wolf  944,326.73434526306994,46.6350640516,58.3486,17.14,M3.5,93.12489943821338,-5.2815165675288345,3001.834228515625,0.27,0.36575835943222046,False,,9.09000015258789,V,M,,,,,False
Ross  298,353.7660958349799,25.249286294780003,60.9452,16.41,M3,101.89775345741131,-34.4837349436141,3316.0,0.27,0.3,False,,9.137999534606934,V,M,,,,,True
LSPM J1413+0023,213.33551740000001,0.3846553,36.1,27.7,M5V,342.6423466908888,56.803710985710644,2930.0,0.123,0.156,False,,10.741000175476074,V,M,,,,,True
LP  839-29,101.67118097702,-21.83780611702,59.9593,16.68,M6Ve,232.0824854258758,-10.763140757023859,2740.0,0.093,0.126,False,,11.220000267028809,V,M,,,,,True
G 248-12,61.655169453842916,79.2670633101789,73.9901,13.52,M4.5,131.49643740750403,19.805226275467884,4250.0,0.184,0.18301084637641907,False,,10.034000396728516,V,M,,,,,False
LP  295-291,21.5812586788,30.08894946858999,37.4523,26.7,M6,131.84951636519705,-32.17798396828665,2740.0,0.093,0.126,False,,11.24899959564209,V,M,,,,,True
LSPM J0804+1116,121.06069555428999,11.26710493869,39.4798,25.33,M5V,210.82931515148164,21.20624018433873,2930.0,0.123,0.156,False,,9.970000267028809,V,M,,,,,True
LSPM J0700+3334,105.1601211228,33.58279299599,37.9602,26.34,M4.01,183.1158158174002,16.378834743123274,3000.21142578125,0.184,0.4153483510017395,False,,9.625,V,M,,,,,True
LP   84-34,69.24359723777,59.36663614716001,35.6822,28.03,M2.5V,148.3126034011482,8.122428361508266,3539.0,0.4,0.421,False,,8.986000061035156,V,M,,,,,True
G 223-43,211.94981994653497,57.19594912712,43.5209,22.98,M4.0,103.93235277563386,57.025914554538176,3148.0,0.184,0.217,False,,9.875,V,M,,,,,False
PM J17465-0538,266.62498140439993,-5.643784108580001,33.5163,29.84,M2,20.285536004782273,11.698646561077952,3380.0,0.4,0.421,False,,8.92199993133545,V,M,,,,,True
V* DY Psc,6.1026322531499995,-1.9722095588899993,80.3441,12.45,M9.5V,107.35911069646043,-64.02374062725185,2350.0,0.078,0.101,False,15.022000312805176,11.991999626159668,V,M,,,,,True
LP  247-56,54.57755459413166,38.48208865595111,34.8571,28.69,M5,155.35104136689876,-13.667110758221238,2930.0,0.123,0.156,False,,11.951000213623047,V,M,,,,,True
LP  987-23,356.6593170236425,-34.167101386155274,64.9795,15.39,M3,2.1475627461373312,-74.41305580899179,3311.0,0.27,0.34587472677230835,False,10.109999656677246,8.85099983215332,V,M,,,,,True
G 180-21,240.2116211652904,40.32875840134278,47.3301,21.13,M3V,64.1976876685875,49.00455622778895,3232.0,0.27,0.40618759393692017,False,,9.215999603271484,V,M,,,,,False
2MASS J23473680+2702068,356.90354153567466,27.035254001448607,46.7587,21.39,M9e,105.81402938050014,-33.70607977329542,2350.0,0.078,0.101,False,,13.192999839782715,V,M,,,,,True
L  239-39,108.22523220388875,-52.33489571306695,54.1758,18.46,M3e,263.1466165516679,-18.06527218499351,4250.0,0.27,0.420248806476593,False,,8.881999969482422,V,M,,,,,False
L  210-70,306.9253391634817,-56.45698663724195,49.0555,20.39,M2.5V,341.22387369595367,-35.49193295568068,3319.10595703125,0.4,0.45054441690444946,False,,8.696999549865723,V,M,,,,,True
LP  833-4,56.73106948162917,-22.904182724892497,36.7335,27.22,M4.5Ve,216.83676726601684,-50.21651263604818,3057.72412109375,0.184,0.2260037660598755,False,,10.99899959564209,V,M,,,,,True
G 114-14,130.59665867328,-4.898656324450001,45.5442,21.96,M3.0V,230.98557269023368,21.947944233174454,3153.48828125,0.27,0.45585325360298157,False,10.369999885559082,9.04699993133545,V,M,,,,,True
HD 205434,323.25445043112086,62.00245251796194,42.9756,23.27,K4,101.79069125634996,7.57758408061567,4246.1025390625,0.73,0.714159369468689,False,,7.189000129699707,V,K,,,,,False
G 151-34,227.9608368926225,-10.238352723680833,65.5037,15.27,M4.5V,350.0608038353711,39.45626535291375,3082.9345703125,0.184,0.2346576750278473,False,,9.651000022888184,V,M,,,,,True
V* YZ Cet,18.127653677659172,-16.998988336544166,269.0573,3.72,M4.0Ve,149.70525678711115,-78.75969868207696,4250.0,0.184,0.217,False,8.937999725341797,7.257999897003174,V,M,,,,,True
G 130-3,355.719777303467,30.82270942190861,77.4837,12.91,M5V,105.97870230153548,-29.78206728263253,3060.0,0.123,0.156,False,,9.63700008392334,V,M,,,,,True
Smethells 119,343.86343554727995,-52.30267489499,42.4928,23.53,M4V,335.71078367001786,-56.803832145164634,4068.0,0.184,0.217,False,9.4399995803833,8.3149995803833,V,M,,,,,False
G  69-24,12.189715273308336,27.019185409902505,45.1255,22.16,M2.5V,122.19581758511606,-35.84873307000626,3384.0,0.4,0.421,False,,8.77400016784668,V,M,,,,,True
HD  47252,97.98638947466918,-68.70986409116306,35.6365,28.06,K0.5V,279.0003277228221,-26.892346497686823,5163.0,0.88,0.813,False,,6.802999973297119,V,K,,,,,False
LP  606-35,135.52879348090917,0.5554013128447223,46.0113,21.73,M6V,228.68795997905863,28.99961605265621,2740.0,0.093,0.126,False,,12.105999946594238,V,M,,,,,True
Wolf 1494,207.20252501486,4.10064847128,61.4769,16.27,M4.55,336.1736496351957,63.20771053383031,3003.0,0.184,0.217,False,,9.755000114440918,V,M,,,,,True
G 193-81,119.59472555452335,49.66478448924945,62.4666,16.01,M4V,169.17928085038065,30.894385007824653,3061.0,0.184,0.217,False,,8.706000328063965,V,M,,,,,True
PM J15552-1010,238.81029549904,-10.17305534017,47.052,21.25,M2.5V,359.375935188424,31.905658397172765,3359.0,0.4,0.421,False,9.739999771118164,8.479999542236328,V,M,,,,,True
HD  80768,141.72137359298497,75.93426113531528,47.8351,20.91,K7V,136.3414181167224,35.31193560373699,4300.96240234375,0.64,0.7331512570381165,False,,6.827000141143799,V,K,,,,,False
LP  218-89,200.58072483494456,39.043916398541946,46.305,21.6,M5.5Ve,96.47490281565818,76.45483067318672,2930.0,0.123,0.156,False,,11.635000228881836,V,M,,,,,False
G  50-1,115.47008822085336,5.040127884103335,36.1089,27.69,M3.0V,214.16822265867324,13.509946297146913,3070.0,0.27,0.6128344535827637,False,,8.90999984741211,V,M,,,,,True
G 131-66,6.335822701819584,22.88642032717611,61.9014,16.15,M4.71,115.12570003768167,-39.58947363083398,4250.0,0.184,0.217,False,,9.715999603271484,V,M,,,,,True
PM J04544+6504,73.62430583554,65.07808824352,50.9966,19.61,M4.0V,145.13378924992682,13.318454398268491,2904.0,0.184,0.217,False,,9.668000221252441,V,M,,,,,True
LP  770-16,36.12792974906791,-17.278437086404164,43.8761,22.79,M5.5Ve,193.1524900050986,-66.36788467465065,2930.0,0.123,0.156,False,,11.522000312805176,V,M,,,,,True
LP  367-217,126.11176146295,25.92683974257,37.6842,26.54,M4.5,197.55604806731876,31.02113923338241,3083.12255859375,0.184,0.25704991817474365,False,,10.618000030517578,V,M,,,,,True
HD  55575,108.95891323603,47.23996344559,59.3408,16.85,F9V,170.34274287500799,23.51492450254277,5777.55419921875,0.9849059581756592,1.2289795875549316,False,,4.480000019073486,V,F,,,,,True
G 272-137,30.19693164689625,-10.355764970760834,34.3535,29.11,M3.5,170.47712731254677,-66.58942548202558,3054.0,0.27,0.3,False,,9.890000343322754,V,M,,,,,True
HD 224129,358.86082731402,22.193282917309997,39.2555,25.47,K3V,106.21677213321155,-38.85415857487966,4893.0,0.78,0.755,False,,6.823999881744385,V,K,,,,,True
