star_name|simbad_name|ra|dec|st_teff|sy_dist|st_spectype|sy_icmag|st_rad|st_mass|fl_known|fl_gaia|from_catalog
TIC 353969903|HD  95735|165.834303|35.969748|3469.1|2.5461|M2+V|4.79|0.4278370753201991|0.4042735175024463|0|0.0|HPIC
TIC 287157635|HD 131976|224.3606|-21.4115|4077.0|5.9|M1.5V|9.02|0.5389809293529572|0.606|1|0.0|HPIC
TIC 1961255595|* tau Cyg B|318.69855340671|38.04716060821||20.1626|nan||||1|0.0|HPIC
TIC 59605887|HD  57095|109.373037|-46.979251|4945.0|14.59|K1V+K4V||0.8222824863203348|0.8138043037769243|1|1.0|HPIC
TIC 97600027|nan|126.695742|26.934874||21.2537|nan||||0|0.0|HPIC
TIC 149396581|HD  79969|139.472689|28.560568|4806.0|17.5284837861525|K3V||0.9501757194754652|0.81|1|0.0|HPIC
TIC 520725468|* iot Leo B|170.98153156255|10.52932437937|4999.040251297091|24.0854|F5V||1.2464533809557994|0.828452520741513|1|0.0|HPIC
TIC 88348779|HD  18455|44.311218|-24.969425|5108.0|22.47|K2V|6.424|0.689190529719467|0.84|1|0.0|HPIC
TIC 466779616|HD 196795|309.907204|4.972013|4313.0|16.72|K5V|6.382|0.902901304285901|0.6740718008101083|1|1.0|HPIC
TIC 181589861|HD 152751|253.8698|-8.3363|3441.0|6.5|M3.5Ve|6.565|0.6262699914654457|0.5461780280346951|1|0.0|HPIC
TIC 950553243|*  78 UMa B|195.18344377173|56.36623111087||25.332788467407227|nan||||1|0.0|HPIC
TIC 1001230963|* zet01 UMa|200.9823430636|54.92526137414|9700.0|24.86739461819846|A1.5Vas|2.119999885559082|3.046930885666768|2.4741488623349|1|0.0|HPIC
TIC 252803603|BD+44  2051|166.3691|43.5268|3465.0|4.9046|M1.0V||0.423871091124489|0.3897673503396832|1|1.0|HPIC
TIC 54234694|HD  65430|119.89140262026|20.84394289288|5153.0|23.9883|K0V|6.776|0.91218372186081|0.863|0|0.0|HPIC
TIC 371477593|HD 216448|343.002371|57.716817|4591.0|23.87774594078319|K3V||1.007155329563035|0.7259108793151561|1|0.0|HPIC
TIC 92357813|HD  21531|51.968372|-19.804493|4231.0|12.49|K5V|6.818|0.9076449788975935|0.6616562304128198|0|0.0|HPIC
