,main_id,coo_ra,coo_dec,plx_value,dist_st_value,sptype_string,coo_gal_l,coo_gal_b,teff_st_value,mass_st_value,radius_st_value,binary_flag,mag_i_value,mag_j_value,class_lum,class_temp,parent_main_id,sep_ang_value,sep_phys_value,a_crit_s,ecliptic_pm45deg,Lon,Lat,baseline_E,separation_E,baseline_i,baseline_o,Erik_teff,teff,contrast,contrast_flag,baseline_flag,optimised_flag
879,LSPM J2346+1129,356.691783236846,11.4859625342986,50.8246,19.68,M9,98.7047402822253,-48.3201666890253,2350.0,0.078,0.101,False,,12.7980003356934,V,M,,,,,True,1.5988578498597263,11.841856120932713,1430.5343859167674,0.0008507047218427889,1500.3571215611598,846.3155559551011,2382.319469358689,2350.0,4.108865156759818e-05,1,0,0
880,SIPS J2126-3143,321.641812397134,-31.7229208572844,40.4533,24.72,M9.2V,14.1863395457327,-45.5559303935947,2350.0,0.078,0.101,False,,13.4670000076294,V,M,,,,,True,313.88057567266594,-15.811080791099005,1796.8907530417935,0.0006772600698165892,1884.5949209853588,1063.0549056509196,2369.190595277639,2350.0,4.108865156759819e-05,1,0,0
881,LP  296-11,25.3157870996008,30.2696456677508,45.9724,21.75,M5Ve,135.535456422654,-31.379772965375,2930.0,0.123,0.156,False,,11.1660003662109,V,M,,,,,True,34.64017993299774,18.39707247755847,658.4605007100881,0.0018481934080259762,690.5991993152887,389.55048562206025,3061.963433690679,2930.0,1.2934357928190566e-05,1,0,0
882,BD-13   718,55.77582941933,-12.89433864192,35.254,28.37,K5V,202.107338898006,-47.4849814268928,3819.0,0.7,0.555776298046112,False,9.34000015258789,8.31599998474121,V,K,,,,,True,49.88921544290071,-31.693831548305507,105.16945414073668,0.01157144312291801,110.30265406002961,62.21908814416344,4436.086439314323,4436.086439314323,6.160417567347709e-07,1,0,0
883,* X Pup,102.477568101458,-46.6145615862706,39.6665,25.21,F5.5V,256.117740335982,-19.6005601499974,6403.0,1.36061668395996,1.82616817951202,False,,4.30000019073486,V,F,,,,,False,114.47626490970066,-68.99542159148594,13.651971616151918,0.08914187569933534,14.318308625987894,8.076615327776615,6449.113198681055,6403.0,3.753519048696213e-08,0,0,0
884,BD+79    38,20.37879967958,80.15179995658,41.0677,24.35,K5V,124.275645379578,17.3586139614902,4069.08129882813,0.7,0.754944384098053,False,,7.32499980926514,V,K,,,,,False,70.26035464402987,61.67761647590148,78.98080909578647,0.015408329830882828,82.83577141529847,46.72567679444327,4436.086439314323,4069.08129882813,3.6962330393353377e-07,1,1,1
885,LP  712-11,47.5090031921338,-13.5700736380144,33.6882,29.68,M4.0,197.187056901079,-54.954386582689,3094.1455078125,0.184,0.239483132958412,False,,10.9899997711182,V,M,,,,,True,40.680162268548685,-30.02889555311934,524.8531458463027,0.002318672120933123,550.4706233535413,310.50730852375455,3213.660538640318,3094.1455078125,5.125045610842136e-06,1,0,0
886,LSPM J0530+2956,82.57438511151,29.94028401134,41.0557,24.36,M7,177.365965689422,-2.28061859493422,2630.0,0.088,0.116,False,,,V,M,,,,,True,83.53147381390757,6.667925798832508,1230.9434548126294,0.0009886419657214156,1291.0243870046208,728.2359687155792,2679.1683248190316,2630.0,2.686149627972888e-05,1,0,0
887,BD+45  4188,349.574734722919,46.2892894513261,42.0397,23.79,M0.5V,106.608964888014,-13.609569453497,3987.0,0.54,0.544,False,,7.8899998664856,V,M,,,,,False,14.266862477349669,45.47789011749836,111.54070282919331,0.010910477753770756,116.98487605837543,65.98836970005127,3767.0379898390893,3987.0,7.293021060606263e-07,1,0,0
888,G 151-61,231.937744143818,-9.02561828940917,47.6083,21.0,M4.5V,354.772326843808,37.6471989007198,3036.14306640625,0.184,0.214940279722214,False,12.25,10.5520000457764,V,M,,,,,True,231.87069277467174,9.518451545968624,429.721740819413,0.0028319776293778136,450.69596402248095,254.2268103220102,3111.716337106017,3036.14306640625,6.514766171280976e-06,1,0,0
889,SCR J1913-2312,288.275294778306,-23.2013855461006,44.2945,22.58,M5.5,14.1561907535084,-14.8830987345113,2930.0,0.123,0.156,False,13.3999996185303,11.4340000152588,V,M,,,,,True,286.7475854567805,-0.8187340414998583,683.5879588981052,0.001780257157863817,716.9530997949067,404.4160903607411,2930.8932452503213,2930.0,1.2934357928190567e-05,1,0,0
890,G 264-17,330.838565218445,67.499953109675,48.6414,20.56,M4.46,107.869320095604,9.68629873829852,4250.0,0.184,0.325075924396515,False,,9.40999984741211,V,M,,,,,False,30.450003346203097,67.19813536927596,263.4684459601098,0.00461900609169009,276.3280373366026,155.87003466292796,3119.751484203918,3119.751484203918,2.7530300031489184e-06,1,0,0
891,G 107-48,106.907299710067,48.687085412495,94.22,10.61,M4.35,168.427297720967,22.5798514243484,4250.0,0.184,0.217,False,,9.10599994659424,V,M,,,,,True,102.33726647037223,25.968904226176818,200.8102864876366,0.006060259054173472,210.6116052718163,118.80096761279489,3141.9552846410716,3141.9552846410716,6.123833778797744e-06,1,0,0
892,GSC 04160-00286,179.45752617852,66.56223116299,57.0201,17.54,M4.0,131.127342880854,49.7043127490012,3034.2900390625,0.184,0.212322071194649,False,,10.2320003509521,V,M,,,,,False,137.20033043591383,57.167332926841496,363.78984337061934,0.0033452345606528105,381.54600660153915,215.22097376618967,3213.660538640318,3034.2900390625,6.681542538492313e-06,1,0,0
